PassengerId,Pclass,Sex,Age,SibSp,Parch,SurvProba,Embarked_Q,Embarked_S
302,3,1,28.0,2,0,0.017865603,1,0
310,1,0,30.0,0,0,0.25809505400000005,0,0
517,2,0,34.0,0,0,0.11827554200000001,0,1
121,2,1,21.0,2,0,0.030126788999999998,0,1
571,2,1,62.0,0,0,0.030126788999999998,0,1
731,1,0,29.0,0,0,0.15728396600000003,0,1
229,2,1,18.0,0,0,0.030126788999999998,0,1
564,3,1,28.0,0,0,0.015477399000000001,0,1
312,1,0,18.0,2,2,0.25809505400000005,0,0
614,3,1,28.0,0,0,0.017865603,1,0
195,1,0,44.0,0,0,0.25809505400000005,0,0
186,1,1,28.0,0,0,0.040062897,0,1
340,1,1,45.0,0,0,0.040062897,0,1
275,3,0,28.0,0,0,0.070139034,1,0
876,3,0,15.0,0,0,0.099709218,0,0
853,3,0,9.0,1,1,0.099709218,0,0
62,1,0,38.0,0,0,0.15728396600000003,0,1
278,2,1,28.0,0,0,0.030126788999999998,0,1
428,2,0,19.0,0,0,0.11827554200000001,0,1
677,3,1,24.5,0,0,0.015477399000000001,0,1
494,1,1,71.0,0,0,0.065741193,0,0
434,3,1,17.0,0,0,0.015477399000000001,0,1
572,1,0,53.0,2,0,0.15728396600000003,0,1
774,3,1,28.0,0,0,0.025397631000000004,0,0
136,2,1,23.0,0,0,0.049436541,0,0
249,1,1,37.0,1,1,0.040062897,0,1
346,2,0,24.0,0,0,0.11827554200000001,0,1
766,1,0,51.0,1,0,0.15728396600000003,0,1
135,2,1,25.0,0,0,0.030126788999999998,0,1
508,1,1,28.0,0,0,0.040062897,0,1
105,3,1,37.0,2,0,0.015477399000000001,0,1
219,1,0,32.0,0,0,0.25809505400000005,0,0
851,3,1,4.0,4,2,0.015477399000000001,0,1
58,3,1,28.5,0,0,0.025397631000000004,0,0
732,3,1,11.0,0,0,0.025397631000000004,0,0
544,2,1,32.0,1,0,0.030126788999999998,0,1
615,3,1,35.0,0,0,0.015477399000000001,0,1
412,3,1,28.0,0,0,0.017865603,1,0
308,1,0,17.0,1,0,0.25809505400000005,0,0
507,2,0,33.0,0,2,0.11827554200000001,0,1
468,1,1,56.0,0,0,0.040062897,0,1
741,1,1,28.0,0,0,0.040062897,0,1
355,3,1,28.0,0,0,0.025397631000000004,0,0
