PassengerId,Survived
302,1
310,1
517,1
121,0
571,1
731,1
229,0
564,0
312,1
614,0
195,1
186,0
340,0
275,1
876,1
853,0
62,1
278,0
428,1
677,0
494,0
434,0
572,1
774,0
136,0
249,1
346,1
766,1
135,0
508,1
105,0
219,1
851,0
58,0
732,0
544,1
615,0
412,0
308,1
507,1
468,0
741,1
355,0
450,1
36,0
47,0
454,1
292,1
749,0
42,0
225,1
341,1
126,1
804,1
801,0
109,0
579,0
889,0
594,0
551,1
1,0
685,0
530,0
245,0
75,1
161,0
745,1
67,1
577,1
737,0
413,1
762,0
511,1
742,0
803,1
269,1
655,0
246,0
162,1
638,0
635,0
447,1
365,0
574,1
248,1
552,0
240,0
485,1
93,0
115,0
875,1
77,0
877,0
675,0
133,0
606,0
792,0
59,1
247,0
559,1
776,0
41,0
90,0
678,1
373,0
69,1
287,1
140,0
523,0
119,0
529,0
825,0
409,0
679,0
689,0
833,0
497,1
15,0
83,1
658,0
389,0
89,1
274,0
173,1
475,0
104,0
819,0
751,1
46,0
342,1
789,1
539,0
640,0
12,1
215,0
636,1
148,0
300,1
495,0
691,1
393,0
705,0
653,0
684,0
174,0
430,1
227,1
306,1
32,1
710,1
550,1
531,1
286,0
481,0
817,0
117,0
345,0
96,0
582,1
528,0
376,1
633,1
845,0
554,1
63,0
205,1
665,1
185,1
92,0
843,1
625,0
347,1
722,0
30,0
55,0
367,1
832,1
482,0
147,1
222,0
726,0
683,0
503,0
492,0
360,1
604,0
166,1
285,0
81,0
228,0
354,0
311,1
260,1
324,1
10,1
605,1
556,0
700,0
180,0
28,0
719,0
856,1
362,0
294,0
746,0
6,0
198,0
701,1
699,0
783,0
262,1
448,1
123,0
756,1
502,0
39,0
359,1
764,1
335,1
456,1
518,0
163,0
68,0
125,0
40,1
5,0
34,0
602,0
404,0
702,1
336,0
281,0
619,1
100,0
806,0
671,1
237,0
854,1
553,0
680,1
458,1
473,1
496,0
520,0
668,0
811,0
400,1
840,1
429,0
353,0
588,1
747,0
13,0
187,1
603,0
609,1
435,0
810,1
375,0
261,0
484,1
334,0
154,0
397,0
613,1
305,0
201,0
395,1
852,0
374,0
524,1
79,1
313,0
809,0
437,0
648,1
43,0
838,0
134,1
541,1
390,1
460,0
670,1
724,0
580,1
251,0
885,0
865,0
483,0
193,1
221,1
593,0
608,1
545,0
433,1
532,0
667,0
31,0
662,0
639,0
446,1
396,0
158,0
637,0
273,1
782,1
859,1
815,0
307,1
378,0
673,0
103,0
53,1
728,1
157,1
284,1
403,0
538,1
561,0
98,1
568,0
129,1
379,0
487,1
178,0
348,1
111,0
664,0
380,0
192,0
420,0
204,0
344,0
642,1
717,1
698,1
489,0
238,1
401,1
233,0
443,0
99,1
780,1
874,0
512,0
547,1
218,0
361,0
651,0
858,1
226,0
19,0
169,0
293,0
542,0
398,0
329,1
686,0
560,1
94,0
214,0
338,1
426,0
712,0
116,0
159,0
884,0
113,0
37,1
106,0
363,0
366,0
442,0
352,0
871,0
250,0
757,0
706,0
407,0
760,1
165,0
781,1
721,1
736,0
84,0
857,1
296,0
71,0
591,0
826,0
769,0
578,1
128,1
748,1
2,1
583,0
540,1
309,0
411,0
172,0
418,1
674,1
461,1
771,0
424,0
316,1
377,1
525,0
787,1
439,0
652,1
151,0
891,0
557,1
777,0
410,0
144,0
527,1
765,0
882,0
735,0
209,1
441,1
132,0
381,1
175,0
534,1
271,0
408,1
632,0
124,1
139,0
52,0
276,1
864,0
343,0
257,1
183,0
618,0
301,1
676,0
241,0
231,1
327,0
459,1
466,0
164,0
168,0
146,0
207,0
501,0
189,0
325,0
755,1
799,0
576,0
80,1
718,1
807,0
800,0
230,0
688,0
101,0
291,1
445,1
847,0
54,1
392,1
862,0
890,1
252,0
500,0
476,0
272,1
45,1
114,0
25,0
212,1
621,0
170,0
592,1
868,0
597,1
521,1
33,1
612,0
110,1
137,1
331,1
223,0
29,1
288,0
56,1
870,1
786,0
805,1
49,0
808,0
873,0
643,0
546,0
478,0
548,1
64,0
414,0
385,0
837,0
323,1
452,0
692,1
235,0
657,0
558,0
463,0
425,0
785,0
304,1
788,0
690,1
220,0
784,0
297,0
22,1
421,0
326,1
200,0
451,0
138,0
537,0
697,0
647,0
629,0
213,0
861,0
836,1
824,1
506,0
723,0
232,0
406,0
569,0
318,0
184,1
763,1
761,0
694,0
610,1
627,0
486,0
279,0
631,1
21,0
171,0
402,0
827,0
567,0
177,0
328,1
707,1
199,1
471,0
881,1
695,0
267,0
616,1
733,0
493,0
131,0
339,1
759,0
490,1
573,1
607,0
194,1
141,0
417,1
661,1
477,0
715,0
153,0
802,1
11,1
270,1
97,0
211,0
880,1
753,0
570,1
549,0
844,0
533,0
835,0
333,0
76,0
713,1
78,0
264,0
887,0
150,0
834,0
515,0
841,0
470,1
565,0
775,1
462,0
254,0
772,0
370,1
322,0
696,0
152,1
850,1
303,0
191,1
587,0
349,1
244,0
794,0
88,0
752,1
656,0
813,0
779,0
419,0
289,1
649,0
167,1
596,0
839,1
156,0
357,1
382,1
280,1
127,0
708,1
778,1
23,1
617,0
666,0
283,0
472,0
739,0
368,1
26,1
197,0
65,0
16,1
467,0
298,0
622,1
337,0
821,1
27,0
589,0
44,1
498,0
793,0
516,0
855,0
562,0
455,0
388,1
72,0
543,0
457,0
634,0
432,1
628,1
654,1
729,0
265,0
210,1
317,1
514,1
314,0
535,0
830,1
320,1
8,0
394,1
142,1
87,0
479,0
504,0
754,0
216,1
581,1
563,0
399,0
669,0
491,0
253,0
469,0
358,0
255,0
277,0
179,0
282,0
391,1
509,0
750,0
584,0
130,0
145,0
848,0
646,1
716,0
768,0
73,0
236,0
38,0
